Source Titles	records	% of 613
FOREST ECOLOGY AND MANAGEMENT	18	2.936
JOURNAL OF EVOLUTIONARY BIOLOGY	16	2.610
MARINE ECOLOGY PROGRESS SERIES	16	2.610
MOLECULAR ECOLOGY	16	2.610
BIOLOGICAL CONSERVATION	15	2.447
ECOLOGY	15	2.447
ECOLOGY LETTERS	15	2.447
ECOSPHERE	12	1.958
SCIENCE OF THE TOTAL ENVIRONMENT	12	1.958
EVOLUTION	11	1.794
JOURNAL OF APPLIED ECOLOGY	11	1.794
AGRICULTURE ECOSYSTEMS ENVIRONMENT	10	1.631
JOURNAL OF ECOLOGY	10	1.631
PROCEEDINGS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES	10	1.631
NEW PHYTOLOGIST	9	1.468
AMERICAN NATURALIST	8	1.305
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY	8	1.305
BIODIVERSITY AND CONSERVATION	8	1.305
DIVERSITY AND DISTRIBUTIONS	8	1.305
FUNCTIONAL ECOLOGY	8	1.305
AMERICAN JOURNAL OF BOTANY	7	1.142
ECOLOGY AND EVOLUTION	7	1.142
GLOBAL CHANGE BIOLOGY	7	1.142
METHODS IN ECOLOGY AND EVOLUTION	7	1.142
BEHAVIORAL ECOLOGY	6	0.979
BIOLOGY LETTERS	6	0.979
ENVIRONMENTAL HEALTH PERSPECTIVES	6	0.979
LANDSCAPE ECOLOGY	6	0.979
OECOLOGIA	6	0.979
PLANT AND SOIL	6	0.979
CANADIAN JOURNAL OF FOREST RESEARCH REVUE CANADIENNE DE RECHERCHE FORESTIERE	5	0.816
ENVIRONMENTAL RESEARCH	5	0.816
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY	5	0.816
FRESHWATER BIOLOGY	5	0.816
JOURNAL OF BIOGEOGRAPHY	5	0.816
MICROBIAL ECOLOGY	5	0.816
REMOTE SENSING OF ENVIRONMENT	5	0.816
TREE PHYSIOLOGY	5	0.816
ANNALS OF BOTANY	4	0.653
BIOLOGICAL INVASIONS	4	0.653
ECOLOGICAL APPLICATIONS	4	0.653
ENVIRONMENTAL BIOLOGY OF FISHES	4	0.653
ENVIRONMENTAL MODELLING SOFTWARE	4	0.653
HEREDITY	4	0.653
PLANT ECOLOGY	4	0.653
WATER RESOURCES RESEARCH	4	0.653
WILDLIFE RESEARCH	4	0.653
AGRICULTURAL AND FOREST METEOROLOGY	3	0.489
ANIMAL CONSERVATION	3	0.489
AUSTRAL ECOLOGY	3	0.489
BASIC AND APPLIED ECOLOGY	3	0.489
BIOGEOSCIENCES	3	0.489
CANADIAN JOURNAL OF FOREST RESEARCH	3	0.489
ECOLOGICAL COMPLEXITY	3	0.489
ECOLOGICAL ENGINEERING	3	0.489
ECOLOGICAL MODELLING	3	0.489
ENVIRONMENTAL SCIENCE TECHNOLOGY	3	0.489
FORESTRY	3	0.489
INTERNATIONAL JOURNAL OF PLANT SCIENCES	3	0.489
JOURNAL OF ANIMAL ECOLOGY	3	0.489
JOURNAL OF CHEMICAL ECOLOGY	3	0.489
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY	3	0.489
JOURNAL OF HAZARDOUS MATERIALS	3	0.489
LANDSCAPE AND URBAN PLANNING	3	0.489
MARINE POLLUTION BULLETIN	3	0.489
PLANT GENOME	3	0.489
POLAR BIOLOGY	3	0.489
RANGELAND ECOLOGY MANAGEMENT	3	0.489
THEORETICAL AND APPLIED GENETICS	3	0.489
ACTA OECOLOGICA INTERNATIONAL JOURNAL OF ECOLOGY	2	0.326
ALLGEMEINE FORST UND JAGDZEITUNG	2	0.326
AMBIO	2	0.326
AQUATIC BOTANY	2	0.326
AQUATIC MICROBIAL ECOLOGY	2	0.326
ATMOSPHERIC ENVIRONMENT	2	0.326
BIOTROPICA	2	0.326
BOIS ET FORETS DES TROPIQUES	2	0.326
CASTANEA	2	0.326
CLIMATIC CHANGE	2	0.326
ECOLOGICAL INDICATORS	2	0.326
ECOTOXICOLOGY	2	0.326
ENVIRONMETRICS	2	0.326
EVOLUTIONARY ECOLOGY RESEARCH	2	0.326
GLOBAL ECOLOGY AND BIOGEOGRAPHY	2	0.326
JOURNAL OF FISH AND WILDLIFE MANAGEMENT	2	0.326
JOURNAL OF GEOPHYSICAL RESEARCH BIOGEOSCIENCES	2	0.326
JOURNAL OF NATURAL HISTORY	2	0.326
JOURNAL OF PALEOLIMNOLOGY	2	0.326
MAYDICA	2	0.326
MOLECULAR ECOLOGY RESOURCES	2	0.326
NEW ZEALAND JOURNAL OF ECOLOGY	2	0.326
PEDOBIOLOGIA	2	0.326
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS	2	0.326
PLANT BIOSYSTEMS	2	0.326
PLANT CELL	2	0.326
PLANT CELL AND ENVIRONMENT	2	0.326
PLANT JOURNAL	2	0.326
PLANT PHYSIOLOGY	2	0.326
PRESLIA	2	0.326
REVISTA CHILENA DE HISTORIA NATURAL	2	0.326
RHODORA	2	0.326
SILVA FENNICA	2	0.326
WATER RESEARCH	2	0.326
WEED RESEARCH	2	0.326
WILDLIFE SOCIETY BULLETIN	2	0.326
ACTA BOTANICA BRASILICA	1	0.163
ACTA PHYSIOLOGIAE PLANTARUM	1	0.163
ADVANCES IN ECOLOGICAL RESEARCH	1	0.163
ADVANCES IN ECOLOGICAL RESEARCH VOL 45 THE ROLE OF BODY SIZE IN MULTISPECIES SYSTEMS	1	0.163
AGROFORESTRY SYSTEMS	1	0.163
ALPINE BOTANY	1	0.163
AMERICAN MIDLAND NATURALIST	1	0.163
ANNALES ZOOLOGICI FENNICI	1	0.163
ANNALS OF FOREST SCIENCE	1	0.163
ANTARCTIC SCIENCE	1	0.163
AQUATIC CONSERVATION MARINE AND FRESHWATER ECOSYSTEMS	1	0.163
AQUATIC ECOLOGY	1	0.163
ARCTIC ANTARCTIC AND ALPINE RESEARCH	1	0.163
ARTHROPOD PLANT INTERACTIONS	1	0.163
ATMOSPHERIC CHEMISTRY AND PHYSICS	1	0.163
AUSTRALIAN JOURNAL OF BOTANY	1	0.163
