Source Titles	records	% of 5154
ECOLOGY AND EVOLUTION	165	3.201
ECOLOGY	123	2.386
MOLECULAR ECOLOGY	114	2.212
MARINE ECOLOGY PROGRESS SERIES	113	2.192
PROCEEDINGS OF THE ROYAL SOCIETY B BIOLOGICAL SCIENCES	110	2.134
FOREST ECOLOGY AND MANAGEMENT	107	2.076
ECOSPHERE	106	2.057
BIOLOGICAL CONSERVATION	98	1.901
OECOLOGIA	96	1.863
JOURNAL OF BIOGEOGRAPHY	72	1.397
GLOBAL CHANGE BIOLOGY	70	1.358
JOURNAL OF ANIMAL ECOLOGY	68	1.319
SCIENCE OF THE TOTAL ENVIRONMENT	68	1.319
EVOLUTION	65	1.261
JOURNAL OF EVOLUTIONARY BIOLOGY	64	1.242
BEHAVIORAL ECOLOGY	58	1.125
FUNCTIONAL ECOLOGY	58	1.125
JOURNAL OF APPLIED ECOLOGY	57	1.106
DIVERSITY AND DISTRIBUTIONS	56	1.087
ECOLOGICAL APPLICATIONS	56	1.087
JOURNAL OF ECOLOGY	56	1.087
FRESHWATER BIOLOGY	54	1.048
NEW PHYTOLOGIST	52	1.009
BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY	51	0.990
BIOLOGICAL INVASIONS	50	0.970
AMERICAN JOURNAL OF BOTANY	49	0.951
GLOBAL ECOLOGY AND BIOGEOGRAPHY	46	0.893
METHODS IN ECOLOGY AND EVOLUTION	46	0.893
AGRICULTURE ECOSYSTEMS ENVIRONMENT	45	0.873
CANADIAN JOURNAL OF FOREST RESEARCH	44	0.854
BIODIVERSITY AND CONSERVATION	41	0.795
ECOLOGICAL MODELLING	35	0.679
PLANT ECOLOGY	35	0.679
ECOLOGY LETTERS	34	0.660
ECOLOGICAL INDICATORS	33	0.640
FRONTIERS IN PLANT SCIENCE	32	0.621
AMERICAN NATURALIST	30	0.582
BIOGEOSCIENCES	30	0.582
ENVIRONMENTAL SCIENCE TECHNOLOGY	30	0.582
BIOTROPICA	29	0.563
LANDSCAPE ECOLOGY	29	0.563
ENVIRONMENTAL POLLUTION	28	0.543
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY	28	0.543
AOB PLANTS	26	0.504
CONSERVATION BIOLOGY	26	0.504
ISME JOURNAL	26	0.504
PLANT AND SOIL	26	0.504
ANIMAL CONSERVATION	25	0.485
JOURNAL OF INSECT CONSERVATION	25	0.485
POLAR BIOLOGY	25	0.485
FRONTIERS IN ECOLOGY AND EVOLUTION	24	0.466
ENVIRONMENTAL BIOLOGY OF FISHES	23	0.446
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH	23	0.446
JOURNAL OF GREAT LAKES RESEARCH	23	0.446
ECOLOGICAL RESEARCH	22	0.427
MOLECULAR ECOLOGY RESOURCES	22	0.427
AUSTRAL ECOLOGY	21	0.407
CONSERVATION GENETICS	21	0.407
AGRICULTURAL AND FOREST METEOROLOGY	20	0.388
BASIC AND APPLIED ECOLOGY	20	0.388
BIOLOGY LETTERS	20	0.388
ENVIRONMENTAL HEALTH PERSPECTIVES	20	0.388
EVOLUTIONARY ECOLOGY	20	0.388
GLOBAL ECOLOGY AND CONSERVATION	20	0.388
JOURNAL OF WILDLIFE MANAGEMENT	20	0.388
ORYX	20	0.388
TREES STRUCTURE AND FUNCTION	20	0.388
CHEMOSPHERE	19	0.369
ECOLOGICAL ENGINEERING	19	0.369
ECOSYSTEMS	19	0.369
HEREDITY	19	0.369
RESTORATION ECOLOGY	19	0.369
BIOGEOCHEMISTRY	18	0.349
JOURNAL OF EXPERIMENTAL BOTANY	18	0.349
MARINE POLLUTION BULLETIN	18	0.349
THEORETICAL AND APPLIED GENETICS	18	0.349
TREE GENETICS GENOMES	18	0.349
ACTA OECOLOGICA INTERNATIONAL JOURNAL OF ECOLOGY	17	0.330
ANNALS OF FOREST SCIENCE	17	0.330
ENDANGERED SPECIES RESEARCH	17	0.330
ENVIRONMENTAL MODELLING SOFTWARE	17	0.330
EUROPEAN JOURNAL OF WILDLIFE RESEARCH	17	0.330
REMOTE SENSING OF ENVIRONMENT	17	0.330
RIVER RESEARCH AND APPLICATIONS	17	0.330
TREE PHYSIOLOGY	17	0.330
WILDLIFE RESEARCH	17	0.330
WILDLIFE SOCIETY BULLETIN	17	0.330
ATMOSPHERIC ENVIRONMENT	16	0.310
EUROPEAN JOURNAL OF FOREST RESEARCH	16	0.310
JOURNAL OF ARID ENVIRONMENTS	16	0.310
JOURNAL OF CHEMICAL ECOLOGY	16	0.310
ENVIRONMENTAL MANAGEMENT	15	0.291
ESTUARIES AND COASTS	15	0.291
INSECT CONSERVATION AND DIVERSITY	15	0.291
INTERNATIONAL JOURNAL OF WILDLAND FIRE	15	0.291
JOURNAL OF FOREST RESEARCH	15	0.291
NEW ZEALAND JOURNAL OF ECOLOGY	15	0.291
PLANT BIOLOGY	15	0.291
ANNALS OF BOTANY	14	0.272
BOTANICAL JOURNAL OF THE LINNEAN SOCIETY	14	0.272
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY	14	0.272
PLANT ECOLOGY DIVERSITY	14	0.272
WATER RESEARCH	14	0.272
WETLANDS	14	0.272
BOTANY	13	0.252
ENVIRONMENTAL MONITORING AND ASSESSMENT	13	0.252
ENVIRONMENTAL RESEARCH LETTERS	13	0.252
FORESTS	13	0.252
FUNGAL ECOLOGY	13	0.252
MOLECULAR BREEDING	13	0.252
NORTHEASTERN NATURALIST	13	0.252
AQUATIC BOTANY	12	0.233
FLORA	12	0.233
FOREST SCIENCE	12	0.233
JOURNAL FOR NATURE CONSERVATION	12	0.233
JOURNAL OF GEOPHYSICAL RESEARCH BIOGEOSCIENCES	12	0.233
MICROBIAL ECOLOGY	12	0.233
PALEOBIOLOGY	12	0.233
URBAN FORESTRY URBAN GREENING	12	0.233
WATER RESOURCES RESEARCH	12	0.233
